FRED Graph Observations,,,
Federal Reserve Economic Data,,,
Link: https://fred.stlouisfed.org,,,
Help: https://fredhelp.stlouisfed.org,,,
Economic Research Division,,,
Federal Reserve Bank of St. Louis,,,
,,,
PNICKUSDM,"Global price of Nickel, U.S. Dollars per Metric Ton, Monthly, Not Seasonally Adjusted",,
PCOPPUSDM,"Global price of Copper, U.S. Dollars per Metric Ton, Monthly, Not Seasonally Adjusted",,
PZINCUSDM,"Global price of Zinc, U.S. Dollars per Metric Ton, Monthly, Not Seasonally Adjusted",,
,,,
Frequency: Monthly,,,
observation_date,PNICKUSDM,PCOPPUSDM,PZINCUSDM
2004-06-01,13599.36363636360,2689.04545454545,1018.840909090910
2004-07-01,15020.06818181820,2816.79545454545,988.084090909091
2004-08-01,13639.61904761900,2844.20238095238,976.773809523810
2004-09-01,13430.36363636360,2903.17045454545,980.002272727273
2004-10-01,14378.47619047620,3009.40476190476,1066.928571428570
2004-11-01,14089.51227272730,3130.30909090909,1100.204545454550
2004-12-01,13764.97619047620,3139.78571428571,1182.121428571430
2005-01-01,14563.75000000000,3168.10000000000,1245.525000000000
2005-02-01,15415.60000000000,3247.10000000000,1323.080000000000
2005-03-01,16239.90476190480,3378.90476190476,1373.928571428570
2005-04-01,16138.33333333330,3389.80952380952,1297.785714285710
2005-05-01,17002.25000000000,3241.90000000000,1245.507500000000
2005-06-01,16113.18181818180,3529.72727272727,1273.097727272730
2005-07-01,14587.59523809520,3608.47619047619,1196.833333333330
2005-08-01,14962.00000000000,3791.90909090909,1300.722727272730
2005-09-01,14154.54545454550,3850.65909090909,1396.647727272730
2005-10-01,12431.11904761900,4056.16666666667,1483.202380952380
2005-11-01,12235.04545454550,4278.15909090909,1610.636363636360
2005-12-01,13490.45000000000,4577.02500000000,1819.325000000000
2006-01-01,14660.80952380950,4743.85714285714,2091.750000000000
2006-02-01,14974.50000000000,4974.97500000000,2219.725000000000
2006-03-01,14925.47826086960,5123.67391304348,2427.645652173910
2006-04-01,18028.88888888890,6404.44444444444,3068.338888888890
2006-05-01,21131.33333333330,8059.19047619048,3544.642857142860
2006-06-01,20585.90909090910,7222.77272727273,3197.590909090910
2006-07-01,26185.71428571430,7726.73809523810,3320.738095238100
2006-08-01,30468.86363636360,7690.25000000000,3339.965909090910
2006-09-01,29702.61904761900,7622.64285714286,3394.059523809520
2006-10-01,32551.13636363640,7497.40909090909,3829.602272727270
2006-11-01,31891.59090909090,7029.29545454546,4378.613636363640
2006-12-01,34400.52631578950,6680.97368421053,4381.447368421050
2007-01-01,36821.59090909090,5689.34090909091,3784.863636363640
2007-02-01,41078.25000000000,5718.15000000000,3321.375000000000
2007-03-01,46125.22727272730,6465.29545454546,3256.181818181820
2007-04-01,49956.57894736840,7753.34210526316,3566.855263157890
2007-05-01,51783.33333333330,7677.95238095238,3847.523809523810
2007-06-01,41551.66666666670,7514.23809523810,3628.654761904760
2007-07-01,33400.22727272730,7980.93181818182,3546.295454545450
2007-08-01,27649.63636363640,7500.20454545455,3244.170454545450
2007-09-01,29548.40000000000,7671.35000000000,2887.600000000000
2007-10-01,31156.00000000000,8020.58695652174,2979.989130434780
2007-11-01,30505.63636363640,6957.43181818182,2554.602272727270
